"","genes","merge","value","ID_sample","ID_lab","Lib","Seq_batch","Numero_unique_groupe","Numero_unique_specimen","Weight","Length","TAG","Tank_exp","Tank_sample","Temperature_acclim","Temperature_sampling","Delta_acclim","Delta_temperature","DatHr_euthan","deltaT.ARN","Time","ID","acclim","sampling","Delta_short","Delta_long","cluster","cutoff0.001","cutoff0.018","cutoff0.03","cutoff0.071","cutoff0.16","cutoff0.284","cutoff0.444","cutoff0.524","cutoff0.64","cutoff0.871","cutoff1.138","cutoff1.44","cutoff1.778","cutoff2.151","cutoff2.409","cutoff3.004","cutoff3.484","cutoff4","sum_cluster","sum_cluster2","cluster2","cluster_new"
"45","SEFA.16370.2","7.55",-0.326863377748786,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"46","SEFA.16370.3","7.55",-0.327920348554687,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"47","SEFA.16370.4","7.55",-0.331363233082615,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"48","SEFA.16370.5","7.55",-0.333785408358651,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"49","SEFA.16370.6","7.55",-0.325481973789471,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"50","SEFA.16370.7","7.55",-0.324817566681402,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"51","SEFA.16370.8","7.55",-0.323630743615507,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"52","SEFA.16370.9","7.55",-0.332106926616104,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"53","SEFA.16370.11","7.55",-0.333852821542776,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"54","SEFA.16370.12","7.55",-0.336007867700923,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
