"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test"
"SEFA.1911",5.66740547705012,0.885527184555205,0.25716381254109,3.44343621213702,0.000574372069417466,0.013307921587344,"acclim"
"SEFA.1913.1",14.7040891051043,1.91886006666257,0.523160778287882,3.66782095733994,0.000244626379324708,0.00789599561765294,"acclim"
"SEFA.1915",18.5960096159752,0.559150847575547,0.166495476367842,3.35835459181006,0.000784079611659211,0.0159804654829807,"acclim"
"SEFA.1919.1",27.3101251848563,1.10003156083717,0.252488528875492,4.35675856537478,1.32002734956149e-05,0.00125809309337666,"acclim"
"SEFA.1920",34.2253603334622,0.533771303875609,0.173841236216997,3.07045276190587,0.00213734493224137,0.0300763494375736,"acclim"
"SEFA.1922",108.933238165465,0.570281625127279,0.138058039831853,4.13073824474003,3.61600127264362e-05,0.00249186338002635,"acclim"
"SEFA.1958",16.1814351934244,0.741261802901001,0.218452640288228,3.39323801224364,0.00069071594532727,0.0148702119023326,"acclim"
"SEFA.1960",40.8759904755712,0.618335456534797,0.134895261016171,4.58381897093235,4.56559548424135e-06,0.000676475458639861,"acclim"
"SEFA.2200",5.73211900235722,0.863453954304066,0.266744430505159,3.23700837040482,0.00120789868722711,0.0209457360869905,"acclim"
"SEFA.2245",55.5262539111243,0.588426839629645,0.131938512490129,4.45985655381455,8.20145263412186e-06,0.000958126569746425,"acclim"
"SEFA.2517",34.4832736180692,0.724944196793924,0.166172284354641,4.36260595206579,1.28522308551739e-05,0.00125228596812205,"acclim"
"SEFA.2518",41.0853243671723,0.693022419945084,0.198975332478625,3.48295646154797,0.000495909008256824,0.0122461633314696,"acclim"
"SEFA.2603",119.338742310813,0.801711598444007,0.18144952559419,4.41837252436265,9.94469066656852e-06,0.00105780526405661,"acclim"
"SEFA.2666",8.0627104159473,1.14828055308037,0.259210246382351,4.4299196081415,9.42682229644371e-06,0.00103513174178353,"acclim"
"SEFA.2708",52.9372386181444,-0.557337786070286,0.188530101307104,-2.95622705449256,0.00311427737255924,0.0376878287551256,"acclim"
"SEFA.2743",43.377081618316,1.04858006270242,0.218818867866274,4.79200021884417,1.65126723018311e-06,0.000373271074392161,"acclim"
"SEFA.2784",211.896268301797,-0.686457309702606,0.242888060355172,-2.82622912257939,0.00470995609712875,0.0484515437016185,"acclim"
"SEFA.2913",172.448034492693,-1.82335450839119,0.57236272676436,-3.18566255825016,0.00144422941561876,0.0233733866886127,"acclim"
"SEFA.3026",481.077996606579,1.29453504239343,0.269994911212918,4.79466459785443,1.62947226625209e-06,0.000373271074392161,"acclim"
"SEFA.3050.1",17.8448856495102,-0.765682714455828,0.177869075812158,-4.30475455589843,1.67170972221721e-05,0.00151156850369917,"acclim"
"SEFA.3207",27.729038163625,0.798578907383798,0.160363238015794,4.97981281286642,6.36458022654246e-07,0.000233792246988326,"acclim"
"SEFA.3215",14.6445434843862,0.896709754189026,0.236412308788045,3.79299097744089,0.000148843566687636,0.00580621630052302,"acclim"
"SEFA.3406",17.3642049776832,0.703773611383655,0.192234190080183,3.66102206423375,0.00025121112148639,0.00803875588756447,"acclim"
"SEFA.3408.1",10.161367249644,0.807117756459869,0.22045325448531,3.66117414934173,0.000251062026357736,0.00803875588756447,"acclim"
"SEFA.3480.1",16.4720425957431,-1.37506198640748,0.265212164406862,-5.18476212990743,2.16290740386873e-07,0.000107410380182656,"acclim"
"SEFA.3492.1",14.6304395386091,0.782895864245854,0.166714418207705,4.69602972953703,2.65266949664265e-06,0.000487206964216701,"acclim"
"SEFA.3598",65.269093868995,-0.892683076886538,0.221651217910845,-4.02742238594694,5.63916735739529e-05,0.00337472615385755,"acclim"
"SEFA.3807",250.469702542964,-0.535371722409599,0.101813794359231,-5.25834171861466,1.45360221426174e-07,9.22731383963104e-05,"acclim"
"SEFA.3834",17.6075110454142,0.576911029540058,0.135777503267451,4.24894415979701,2.14780444652508e-05,0.00175744152237077,"acclim"
"SEFA.3838",26.5415378614552,1.39679375825981,0.466850915208986,2.99194820606603,0.00277203288945374,0.0352389934440147,"acclim"
"SEFA.3839",9.6370166865782,0.665516805616815,0.161635125958031,4.11740209111241,3.83167225707831e-05,0.00260685099449552,"acclim"
"SEFA.3854",83.9986852786078,-0.648232531070313,0.186735139939983,-3.47140089047331,0.000517750414218587,0.0125054456212358,"acclim"
"SEFA.3873",9.07498497653133,0.539960592492095,0.164668101584803,3.27908433567517,0.0010414450736805,0.019147820165938,"acclim"
"SEFA.3949",139.279296251487,0.710447961928728,0.15521233297668,4.57726488806446,4.71094786093809e-06,0.00069219527236717,"acclim"
"SEFA.4093",136.415701101481,0.532794728672376,0.125409976164586,4.24842380938775,2.15279837901655e-05,0.00175744152237077,"acclim"
"SEFA.4236.1",6.96996080496206,0.993782835421995,0.332729543365828,2.98675863095618,0.00281952234644607,0.0355352523320494,"acclim"
"SEFA.4240",13.6281576724978,0.584049420268186,0.129487462456221,4.51047081462152,6.46839007235749e-06,0.000838607748204465,"acclim"
"SEFA.4314",361.084211979931,0.973095128710151,0.30312698272221,3.21018973623312,0.00132647382958855,0.0223384780929372,"acclim"
"SEFA.4325.1",6.95546280829998,0.942875329890823,0.313849089334027,3.0042315301649,0.00266252623745225,0.0344428926036376,"acclim"
"SEFA.4328",14.2683874453484,-0.831444466181397,0.291877747332926,-2.84860519097067,0.0043911334553146,0.0461134395974431,"acclim"
